"PartitionKey","RowKey","WeekNumber","MonthNumber","YearNumber","Duration"
"2da05f36-663d-45bd-bf97-407b305b74bf","14_4_2020","14","4","2020","25.75"
"2da05f36-663d-45bd-bf97-407b305b74bf","15_4_2020","15","4","2020","23"
"be11fac5-4825-4caa-b0d5-1e3b4f0ecae9","20_5_2020","20","5","2020","40"
"343a795c-7ee4-40d1-8ef5-f93b85059a50","14_3_2020","14","3","2020","16.5"
"343a795c-7ee4-40d1-8ef5-f93b85059a50","14_4_2020","14","4","2020","24"
"f3c0fc94-161b-4960-ae2c-82fa663d1143","13_3_2020","13","3","2020","40"
"1847f009-b425-4e62-8286-f20e52fb7ef5","6_2_2020","6","2","2020","39"
"1847f009-b425-4e62-8286-f20e52fb7ef5","7_2_2020","7","2","2020","41.5"
"e072544b-169c-4b5f-89ab-391faece6499","16_4_2020","16","4","2020","33"
"e0778632-e76a-49ba-9b1d-eb01eb8d8df5","27_6_2020","27","6","2020","16"
"4e010ff2-d5a1-42a6-aaaf-0a37e122cffb","11_3_2020","11","3","2020","8"
"0d2a7e56-1519-4225-b7e3-ee857fd014d2","15_4_2020","15","4","2020","23.5"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","10_3_2020","10","3","2020","40"
"4b9d592d-50e5-423c-b7e3-175aeea7e139","13_3_2020","13","3","2020","40.5"
"89fe4a65-76ab-4126-82e2-52f425c11f21","16_4_2020","16","4","2020","33.75"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","49_11_2019","49","11","2019","40.5"
"360c64e0-63a2-409c-b2f2-5a73c3bdf70b","17_4_2020","17","4","2020","41"
"a415e194-bf55-4e97-8ee7-a7fa540ecc8e","10_3_2020","10","3","2020","45.5"
"89a590ca-884f-4936-b62d-c8f76d79002c","7_2_2020","7","2","2020","45"
"8aa34fdd-8885-4c15-a445-0b413705a326","19_5_2020","19","5","2020","40"
"e716fa8b-62e8-463e-afad-ffbef362ade6","14_3_2020","14","3","2020","19"
"e716fa8b-62e8-463e-afad-ffbef362ade6","14_4_2020","14","4","2020","21.75"
"41c4233e-bb22-44f2-bcb4-8f01061c0c28","16_4_2020","16","4","2020","22"
"6c9b5da3-bd2e-460c-98d9-f30f76867355","10_3_2020","10","3","2020","37.5"
"89fe4a65-76ab-4126-82e2-52f425c11f21","13_3_2020","13","3","2020","43.75"
"1847f009-b425-4e62-8286-f20e52fb7ef5","52_12_2019","52","12","2019","16"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","11_3_2020","11","3","2020","42.5"
"e881fa18-07fa-4d42-b765-66644d717b65","17_4_2020","17","4","2020","40"
"89a590ca-884f-4936-b62d-c8f76d79002c","12_3_2020","12","3","2020","43.25"
"54573d03-85a0-4b2c-80e5-f3f4549e266b","16_4_2020","16","4","2020","32.25"
"e716fa8b-62e8-463e-afad-ffbef362ade6","15_4_2020","15","4","2020","23.5"
"583ee621-6cb0-4fb0-b82e-f60232e3e57e","18_4_2020","18","4","2020","34.25"
"d1515707-ab10-49c1-893e-a60b70bd0364","17_4_2020","17","4","2020","40"
"19ba4751-2172-4be0-bf24-54c8ee2ee1c4","7_2_2020","7","2","2020","39.5"
